13.117,14.601,153.9,49.3,6.8
15.525,11.686,148.8,51,11.4
10.93,11.274,167.8,51.3,2.5
16.555,10.276,326.8,37.9,1.2
25.634,1.783,175.2,45.6,2.9
16.444,14.665,103.2,45.4,3.16
17.934,10.323,53,40.3,4.4
19.201,11.385,230.5,55.6,3.7
20.881,10.688,217.3,47.1,1.36
22.117,10.529,129.7,37.7,3.6
23.59,14.015,122.6,44.4,4.8
25.999,14.142,137.9,53.4,2.8
24.652,12.256,107.6,55.7,2.2
25.159,6.552,83.5,45.5,7.8
23.448,9.531,42.9,47.4,1.8
10.486,2.322,154,29.9,5.1
7.888,0.642,188.5,37.8,2.2
7.951,2.955,57.3,45.9,3.6
9.235,5.031,208.2,54,3.2
10.249,5.966,194.8,49.2,3.2
8.791,13.603,236.3,40.9,6
8.141,9.959,298.6,46.7,4.5
8.094,7.519,309,56.5,1
24.509,-4.476,243,45.6,8
24.161,-4.428,245,45.3,9.5
