FaultID,Latitude(WGS84),Longitude(WGS84),Strike,Dip,LengthKm,FrictionCoefficient,wkt,slip_pressure,coulomb_failure_function,summary_end_year,summary_fsp,summary_pressure,prob_hydro_fsp,shear_capacity_utilization,normal_stress,shear_stress
Fault1,29.04384521093328,-97.80249327482383,30.0,75.0,6.2,0.58,"LINESTRING (-97.83005362717299 29.029857805354457,-97.77492548879908 29.057826930185232)",589.89,-342.0,,,,,0.891,5427.636,2805.893
Fault2,29.07698897893761,-97.79952926327326,28.0,72.0,5.8,0.58,"LINESTRING (-97.82582415021488 29.064702885383632,-97.7732281382698 29.089269896869613)",846.217,-491.0,,,,,0.851,5668.189,2796.744
Fault3,29.04838727869244,-97.81341887770945,45.0,50.0,7.0,0.58,"LINESTRING (-97.83882448373377 29.026055803582057,-97.78800232744189 29.070713871080837)",1210.652,-702.0,,,,,0.774,5350.375,2401.039
Fault4,29.098084957337463,-97.81238699788491,60.0,55.0,6.5,0.58,"LINESTRING (-97.82907580168944 29.072690071718593,-97.79569000111096 29.123477669520867)",727.333,-422.0,,,,,0.838,4483.181,2178.392
Fault5,29.078225927092067,-97.77083374774816,20.0,45.0,6.8,0.58,"LINESTRING (-97.80364447050846 29.067730214976088,-97.73801637636073 29.08871359943768)",3231.07,-1874.0,,,,,0.527,6832.41,2088.777
Fault6,29.06513855876352,-97.84393382284472,35.0,48.0,7.2,0.58,"LINESTRING (-97.87421195934023 29.046505257094804,-97.81364479681446 29.08376497700186)",1823.633,-1058.0,,,,,0.694,5950.766,2393.738
Fault7,29.062695834780616,-97.85334637987104,50.0,52.0,6.0,0.58,"LINESTRING (-97.8731448598629 29.041959955329343,-97.83353997561842 29.083428729167927)",948.437,-550.0,,,,,0.811,5011.044,2356.312
Fault8,29.18494406004179,-97.80581391730514,32.0,78.0,7.5,0.58,"LINESTRING (-97.83850428553758 29.167011336241725,-97.7731121786177 29.202868751750728)",378.941,-220.0,,,,,0.927,5188.835,2789.738
Fault9,29.213680731520675,-97.7939019432292,15.0,60.0,6.3,0.58,"LINESTRING (-97.82519067783971 29.20632155625277,-97.7626087389204 29.22103258162541)",2839.194,-1647.0,,,,,0.59,6929.634,2372.455
Fault10,29.131038613302984,-97.60755801037962,70.0,47.0,6.7,0.58,"LINESTRING (-97.61932848456307 29.102636477479635,-97.59578106437628 29.159439594616668)",1125.269,-653.0,,,,,0.774,4975.35,2233.047
