label,min,max,id
SHmax Azimuth,4.98427365e7,4.986367087e7,A
Pore Press Grad,4.985309328e7,4.985331328e7,A
SHmin Gradient,4.985313825e7,4.985326831e7,A
Vert Stress Grad,4.985314241e7,4.985326415e7,A
SHmax Gradient,4.985318738e7,4.985321918e7,A
Strike of fault,-464.55,482.5,A
Dip of fault,-289.45,310.38,A
Friction Coeff,-48.84,47.19,A
SHmax Azimuth,2.447723775e7,2.450237882e7,B
SHmin Gradient,2.448968652e7,2.448992621e7,B
Pore Press Grad,2.448969637e7,2.448991637e7,B
SHmax Gradient,2.448978422e7,2.448982851e7,B
Vert Stress Grad,2.448979407e7,2.448981867e7,B
Strike of fault,-525.89,612.65,B
Dip of fault,-256.24,297.53,B
Friction Coeff,-76.09,73.51,B
